Field_name,Field_locator_name,Field_locator_value
welcome_signup,xpath,//div[@class='jss28']/button[2]/span
signup_first_name,xpath,//input[@id='first-name-field']
signup_last_name,xpath,//input[@id='last-name-field']
signup_email_id,xpath,//input[@id='email-field']
signup_phone_number,xpath,//input[@id='phoneno-field']
signup_password,xpath,//input[@id='password-field']
signup_confirm_password,xpath,//input[@id='repassword']
signup_terms_and_conditions,xpath,//input[@type='checkbox']
firstname_valid_msg,xpath,//p[@id='first-name-field-helper-text']
lastname_valid_msg,xpath,//p[@id='last-name-field-helper-text']
emailid_valid_msg,xpath,//p[@id='email-field-helper-text']
phonenumber_valid_msg,xpath,//p[@id='phoneno-field-helper-text']
password_valid_msg,xpath,//p[@id='password-field-helper-text']
passwordstrength_valid_msg,xpath,//p[@id='strength-title']
signup_referral_code,xpath,//input[@id='referral-field']
passwordmatch_valid_msg,xpath,//p[@id='repassword-helper-text']
signup,xpath,//button[@id='signup-button']/span[@class='MuiButton-label']
welcome_login,xpath,//span[@class='MuiButton-label']
login_phone_number,xpath,//input[@id='inputUsername']
login_password,xpath,//input[@id='inputPassword']
login_validate_msg,xpath,//div[@class='content']/div[6]/div[2]/input
login_negative_validate_msg,xpath,//div[@class='content']/div[2]/div[2]
login_title,xpath,//h4[@id='sub-heading']
signup_title,xpath,//p[@id='heading']
welcome_page_title,xpath,"//h2[contains(text(),""It's time to take control of your healthcare!"")]"
plus_one,xpath,/html/body/form/div/div[2]/div[4]/div/div[2]/span
forgot_password_link,xpath,//a[@id='forgot-password']
forgot_password_title,xpath,//div[@id='page-container']/h2
sign_up_link,xpath,//a[@id='signup']
logout,xpath,//div[@id='root']/div[1]/div[2]/div[1]/div[2]/div[1]/img[1]
login,xpath,//button[@id='login']
phone_number_blank_valid_msg,xpath,"//p[contains(text(),'Phone number required')]"
send_reset_link,xpath,"//*[@id=""page-container""]/button/span"
phone_number_valid_msg,xpath,"//p[contains(text(),'Phone number should be 10 digit number')]"
forgot_password_phoneno_exist_valid_msg,xpath,"//p[contains(text(),""Phone number doesn't exists"")]"
forgot_password_phone_no,xpath,"//*[@id=""page-container""]/div[1]/div/input"
send_reset_link1,xpath,"//h2[contains(text(),'Forgot password?')]"
show_password,xpath,//div[@class='jss1 jss2']/div/div/div[5]/div/div/img
otp,xpath,//input[@id='otp-0']
verify,xpath,"//*[@id=""page-container""]/button/span[1]"
login_link,xpath,//span[@id='login-link']
header_logo,xpath,//img[@id='logo']
help,xpath,//body/div[@id='root']/div[1]/div[2]/div[1]/div[1]/div[1]/img[1]
header_frequently_asked,xpath,"//h3[contains(text(),'Frequently asked questions')]"
logout,xpath,//body/div[@id='root']/div[1]/div[2]/div[1]/div[2]/div[1]/img[1]
your_alerts_title,xpath,"//h3[contains(text(),'Your alerts')]"
header_alerts,xpath,//body/div[@id='root']/div[1]/div[2]/div[1]/div[3]/div[1]
header_menu,xpath,//body/div[@id='root']/div[1]/div[2]/div[1]/div[4]/div[1]/img[1]
header_profile,xpath,//li[@id='header-list-item-0']
your_profile_title,xpath,"//h3[contains(text(),'Your profile')]"
header_ratings,xpath,"//p[contains(text(),'Your ratings')]"
your_ratings_title,xpath,"//h3[contains(text(),'Your ratings')]"
header_feedback,xpath,//li[@id='header-list-item-2']
your_feedback_title,xpath,//input[@id='ideas_idea_name']
header_contact,xpath,//li[@id='header-list-item-3']
contact_form,xpath,//input[@id='input_4_7_3']
header_privacy,xpath,"//p[contains(text(),'Privacy Policy')]"
privacy_ok,xpath,//button[@id='dialogbox-button']
header_terms,xpath,"//p[contains(text(),'Terms & Conditions')]"
terms_ok,xpath,//button[@id='dialogbox-button']
services,xpath,"//span[contains(text(),'Services')]"
grid_path,xpath,//div[@class='jss1']/div[2]/div/div/div/div/div/span/div/div[2]
bills_title,xpath,"//h3[contains(text(),'Bills')]"
bills,xpath,"//p[contains(text(),'Bills')]"
tab_ok,xpath,"//span[contains(text(),'OK')]"
second_opinion_title,xpath,"//h3[contains(text(),'Second opinions')]"
Award Points,xpath,"//h3[contains(text(),'Award points')]"
wallet,xpath,"//p[contains(text(),'Wallet')]"
request_second_opinion_title,xpath,"//h3[contains(text(),'Second Opinion')]"
refer_a_friend_button,xpath,"//span[contains(text(),'Refer a Friend')]"
refer_a_friend_title,xpath,"//h3[contains(text(),'Refer a friend')]"
request_second_opinion_button,xpath,"//span[contains(text(),'Request a Second Opinion')]"
forgot_password_page_title,xpath,"//h2[contains(text(),'Forgot password?')]"
forgot_password_signup_link,xpath,//a[@id='signup']
signup_page_title,xpath,//span[@id='signup-title']
utilities,xpath,"//span[contains(text(),'Utilities')]"
home_page_title,xpath,"//p[contains(text(),'Let’s get started')]"
services_page_title,xpath,"//p[contains(text(),'Healthcare Records')]"
circles_page_title,xpath,"//h1[contains(text(),'Partners in your care')]"
award_points,xpath,"//p[contains(text(),'Award Points')]"
circles,xpath,"//span[contains(text(),'Circles')]"
award_point_title,xpath,"//h4[contains(text(),'Balance')]"
home,xpath,"//span[contains(text(),'Home')]"
wallet_page_title,xpath,"//h3[contains(text(),'Manage payments')]"
circle_click,xpath,"//*[@id=""side-nav-pane-items""]/div/button[3]/span[1]"
circle_header_assert,xpath,"//h1[contains(text(),'Partners in your care')]"
circle_add_partner,xpath,"//span[contains(text(),'Add a Partner')]"
circle_add_assert,xpath,"//h3[contains(text(),'Add a Partner')]"
circle_select_partner,xpath,//div[@id='standard-select']
circle_mymedicare,xpath,//body/div[@id='menu-PartnerPicker']/div[3]/ul[1]/li[1]
circle_proceed,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/button[1]
circle_continue,xpath,"//span[contains(text(),'Continue')]"
circle_usernamelink,xpath,"//a[contains(text(),'Forgot username?')]"
circle_allfieldsnumber,xpath,"//span[contains(text(),'All fields required.')] "
circle_forgotpasswordlink,xpath,"//a[contains(text(),'Forgot password?')]"
circle_username,xpath,//input[@id='username-textbox']
circle_password,xpath,//input[@id='password-textbox']
circle_eye,xpath,"//*[@id=""App""]/div/div[2]/fieldset/div[3]/div/div[1]/button"
circle_login,xpath,//body[1]/div[2]/main[1]/div[1]/div[1]/div[2]/div[1]/div[1]/button[1]/span[1]
circle_mymedicareassert,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div/div[2]/div/div/img"
circles_page_title,xpath,"//h1[contains(text(),'Partners in your care')]"
circles_add_patner_button,xpath,"//span[contains(text(),'Add a Partner')]"
add_patner_page_title,xpath,"//h3[contains(text(),'Add a Partner')]"
add_patner_proceed_button,xpath,"//span[contains(text(),'Proceed')]"
mymed_username,xpath,//input[@id='username-textbox']
mymed_password,xpath,//input[@id='password-textbox']
mymed_username_valid_msg,xpath,"//div[contains(text(),'Error: Enter your username')]"
mymed_password_valid_msg,xpath,"//div[contains(text(),'Error: Enter your password')]"
mymed_login,xpath,//body[1]/div[2]/main[1]/div[1]/div[1]/div[2]/div[1]/div[1]/button[1]/span[1]
mymed_invalid_login_msg,xpath,//body/div[@id='app-root']/main[@id='main']/div[@id='App']/div[1]/div[2]/fieldset[1]/div[2]/div[1]
mymed_blank_credential_msg,xpath,//h3[@id='alertHeader']
utilities_add_card,xpath,"//span[contains(text(),'Add a Credit / Debit Card')]"
utilities_save_as,xpath,//div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/input[1]
utilities_name_on_card,xpath,//div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/input[1]
utilities_phone_number,xpath,//div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[5]/div[1]/div[1]/input[1]
